,relative polarity,dielectric constant,ET(30),alpha,beta,pi*,SA,SB,SP,SdP,N,n,f(n),delta
Cyclohexane,0.006,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
Ethyl Acetate,0.228,6.02,38.1,0.0,0.45,0.55,0.0,0.542,0.656,0.603,0.01021,1.372,0.22728,18.4
Acetic Acid,0.648,6.15,51.7,1.12,0.45,0.64,689.0,0.39,0.651,0.676,0.01749,1.369,0.22564,18.9
2-Methyltetrahydrofuran [2-MeTHF],0.207,7.58,36.5,0.0,0.45,0.58,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,19.0
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.55,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
IPA [Propan-2-ol],0.546,17.9,50.7,0.84,0.9,0.52,0.367,0.782,0.658,0.748,0.01331,1.384,0.23381,24.4
Ethanol,0.654,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
Methanol,0.762,32.7,55.4,0.98,0.66,0.6,0.605,0.545,0.608,0.904,0.02466,1.329,0.20645,29.3
"Ethylene Glycol [1,2-Ethanediol]",0.79,37.0,56.3,0.9,0.52,0.92,0.717,0.534,0.777,0.91,0.01788,1.4318,0.25927,29.9
Acetonitrile,0.46,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
Water,1.0,80.1,63.1,1.17,0.47,1.09,1.062,0.025,0.681,0.997,0.05541,1.333,0.2057,47.9
Diethyl Ether [Ether],0.27,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
MTBE [tert-Butylmethylether],0.124,2.6,34.7,0.0,0.67,0.27,0.0,0.567,0.622,0.422,0.00839,1.3664,0.22421,15.2
Dimethyl Carbonate,0.39,3.087,38.2,0.0,0.43,,0.064,0.433,0.653,0.531,0.01188,1.368,0.22509,19.5
tert-Butanol [2-Methylpropan-2-ol],0.552,10.9,43.3,0.42,0.93,0.41,0.145,0.928,0.632,0.732,0.01066,1.387,0.23543,21.6
"DMA [N,N-Dimethylacetamide]",0.637,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
"2,2,2-Trifluoroethanol",0.898,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
Dihydrolevoglucosenone (Cyrene),,3.4,0.333,0.0,0.61,0.93,,,,,,1.473,,
Decanol,0.559,12.5,48.8,0.8,0.84,0.4,0.315,0.879,0.698,0.552,0.00803,1.418,0.25201,21.8
Butanone [MEK],0.327,17.1,41.3,0.06,0.48,0.67,0.0,0.52,0.669,0.872,0.01116,1.3788,0.23098,19.0
Ethyl Lactate,,15.7,,,0.58,,,,,,,1.41,,
Methyl Propionate,,,,,,,,,,,,,,
